Date,Open,High,Low,Close,Volume
17-Aug-16,15.51,15.62,15.19,15.41,5290478
16-Aug-16,15.70,16.00,15.25,15.39,8865678
15-Aug-16,14.30,16.25,14.30,15.61,17270620
12-Aug-16,14.03,14.33,13.83,14.30,4978086
11-Aug-16,14.35,14.36,13.96,13.97,5203683
10-Aug-16,14.67,14.68,13.93,14.14,6787920
9-Aug-16,14.68,14.87,14.39,14.54,7261541
8-Aug-16,14.00,14.80,13.96,14.29,10105641
5-Aug-16,13.59,14.14,13.59,13.77,7028163
4-Aug-16,13.50,13.83,13.19,13.53,7028942
3-Aug-16,12.73,13.50,12.61,13.30,7598110
2-Aug-16,12.90,13.32,12.53,12.55,6741919
1-Aug-16,12.58,13.30,12.47,12.94,7627229
29-Jul-16,12.88,12.89,12.23,12.64,11416580
28-Jul-16,12.15,13.28,11.75,13.02,24144992
27-Jul-16,11.47,11.83,11.42,11.57,10651708
26-Jul-16,11.41,11.54,11.25,11.32,4094044
25-Jul-16,11.11,11.50,11.06,11.41,4933164
22-Jul-16,11.32,11.52,11.06,11.08,4989930
21-Jul-16,11.09,11.49,11.03,11.23,7211503
20-Jul-16,11.09,11.13,10.88,10.90,6044671
19-Jul-16,11.98,11.98,10.98,11.01,9468669
18-Jul-16,11.95,12.00,11.65,11.85,4384456
15-Jul-16,12.31,12.47,11.85,11.90,5174826
14-Jul-16,12.60,12.72,12.24,12.28,5361381
13-Jul-16,12.80,13.40,12.14,12.43,9434929
12-Jul-16,12.53,12.65,12.19,12.46,7082649
11-Jul-16,11.11,12.49,11.10,12.43,13488023
8-Jul-16,10.96,11.22,10.85,10.97,4454255
7-Jul-16,10.55,11.13,10.52,10.77,5766144
6-Jul-16,10.38,10.66,10.25,10.59,2966497
5-Jul-16,10.92,10.96,10.60,10.65,3083706
1-Jul-16,10.86,11.14,10.77,11.05,4190812
30-Jun-16,10.70,10.88,10.32,10.81,5661176
29-Jun-16,10.60,10.90,10.43,10.81,5284213
28-Jun-16,10.52,10.90,10.30,10.48,5261725
27-Jun-16,10.61,10.87,10.01,10.21,6846518
24-Jun-16,10.52,11.06,10.50,10.78,15050669
23-Jun-16,11.26,11.40,11.15,11.32,4479373
22-Jun-16,11.20,11.46,11.03,11.10,4121755
21-Jun-16,11.01,11.26,10.95,11.20,5898447
20-Jun-16,10.89,11.47,10.80,10.85,8240289
17-Jun-16,9.88,10.83,9.87,10.65,8843150
16-Jun-16,9.66,9.90,9.51,9.84,4415260
